timestamp,frequency,amplitude,label
02:26.4,110351.6,0.0394,CRACKED
02:29.0,110351.6,0.0725,CRACKED
02:31.5,110351.6,0.0809,CRACKED
02:34.0,110351.6,0.0356,CRACKED
02:36.6,110351.6,0.0341,CRACKED
02:39.1,110351.6,0.0392,CRACKED
02:41.6,12207,0.0224,CRACKED
02:44.2,110351.6,0.0296,CRACKED
02:46.7,3418,0.0186,CRACKED
02:49.2,110351.6,0.0584,CRACKED
02:51.8,110351.6,0.0219,CRACKED
02:54.3,110351.6,0.0288,CRACKED
02:56.8,110351.6,0.0283,CRACKED
02:59.4,110839.8,0.0308,CRACKED
03:01.9,110351.6,0.0454,CRACKED
03:04.4,110351.6,0.0351,CRACKED
03:07.0,110351.6,0.0523,CRACKED
03:09.5,110351.6,0.0399,CRACKED
03:12.0,8300.8,0.0168,CRACKED
03:14.5,110351.6,0.0487,CRACKED
03:17.1,110351.6,0.0425,CRACKED
03:19.6,110351.6,0.0425,CRACKED
03:22.1,110351.6,0.0425,CRACKED
03:39.9,110351.6,0.024,CRACKED
03:42.4,110351.6,0.0379,CRACKED
03:44.9,110351.6,0.0359,CRACKED
03:47.5,110351.6,0.0337,CRACKED
03:50.0,110351.6,0.0212,CRACKED
03:50.0,110351.6,0.0212,CRACKED
03:39.9,110351.6,0.024,CRACKED
03:42.4,110351.6,0.0379,CRACKED
03:44.9,110351.6,0.0359,CRACKED
03:47.5,110351.6,0.0337,CRACKED
03:50.0,110351.6,0.0212,CRACKED
03:52.5,110351.6,0.0249,CRACKED
03:55.1,143066.4,0.0172,CRACKED
03:57.6,110351.6,0.0453,CRACKED
04:00.1,110351.6,0.018,CRACKED
04:02.7,110351.6,0.0508,CRACKED
04:05.2,110351.6,0.0251,CRACKED
04:07.7,110351.6,0.015,CRACKED
04:10.3,11718.8,0.0273,CRACKED
04:12.8,110351.6,0.0521,CRACKED
04:15.3,110351.6,0.0151,CRACKED
04:17.9,110351.6,0.0308,CRACKED
04:20.4,110351.6,0.0292,CRACKED
04:22.9,110351.6,0.02,CRACKED
04:25.5,110351.6,0.0298,CRACKED
04:28.0,110351.6,0.0362,CRACKED
04:30.5,110351.6,0.026,CRACKED
04:33.1,110351.6,0.0335,CRACKED
04:35.6,110351.6,0.0365,CRACKED
04:38.1,110351.6,0.0286,CRACKED
04:40.7,110351.6,0.0321,CRACKED
04:43.2,110351.6,0.0282,CRACKED
04:45.7,110351.6,0.0353,CRACKED
04:48.2,110351.6,0.0202,CRACKED
04:50.8,110351.6,0.0286,CRACKED
04:53.3,110839.8,0.0385,CRACKED
04:55.8,110351.6,0.0341,CRACKED
04:58.4,110351.6,0.0226,CRACKED
05:00.9,110351.6,0.0297,CRACKED
05:03.4,110839.8,0.0188,CRACKED
05:06.0,110351.6,0.0402,CRACKED
05:08.5,110351.6,0.023,CRACKED
05:11.0,110351.6,0.0311,CRACKED
05:13.6,143066.4,0.0184,CRACKED
05:16.1,27343.8,0.0202,CRACKED
05:18.6,110351.6,0.0462,CRACKED
05:21.2,110351.6,0.0344,CRACKED
05:23.7,230957,0.016,CRACKED
05:26.2,226074.2,0.0142,CRACKED
05:28.8,110351.6,0.0293,CRACKED
05:31.3,110351.6,0.0328,CRACKED
05:33.8,110351.6,0.0273,CRACKED
05:36.4,110351.6,0.023,CRACKED
05:38.9,110351.6,0.023,CRACKED
05:41.4,110351.6,0.023,CRACKED
05:44.0,110351.6,0.023,CRACKED
05:46.5,110351.6,0.023,CRACKED
05:49.0,241699.2,0.0156,CRACKED
05:51.6,52734.4,0.0212,CRACKED
05:54.1,52734.4,0.0212,CRACKED
05:56.6,52734.4,0.0212,CRACKED
05:59.2,52734.4,0.0212,CRACKED
06:01.7,110351.6,0.0302,CRACKED
06:04.2,110351.6,0.0182,CRACKED
06:06.8,110351.6,0.0387,CRACKED
06:09.3,110351.6,0.0264,CRACKED
06:11.8,110351.6,0.0386,CRACKED
06:14.4,110351.6,0.0371,CRACKED
06:16.9,110351.6,0.0432,CRACKED
06:19.4,110351.6,0.0328,CRACKED
06:22.0,110351.6,0.0462,CRACKED
06:24.5,110351.6,0.0194,CRACKED
06:27.0,110351.6,0.0268,CRACKED
06:29.6,110839.8,0.0145,CRACKED
06:32.1,213867.2,0.0144,CRACKED
06:34.6,110351.6,0.0277,CRACKED
06:37.2,110351.6,0.0174,CRACKED
06:39.7,143066.4,0.022,CRACKED
06:42.2,110351.6,0.0249,CRACKED
06:44.8,110839.8,0.0225,CRACKED
06:47.3,110351.6,0.0235,CRACKED
06:49.8,110351.6,0.0221,CRACKED
06:52.3,110351.6,0.0256,CRACKED
06:57.4,110351.6,0.0444,CRACKED
06:59.9,110351.6,0.0304,CRACKED
07:02.5,110351.6,0.0254,CRACKED
07:05.0,110351.6,0.0201,CRACKED
07:07.5,110351.6,0.0251,CRACKED
07:10.1,110351.6,0.0319,CRACKED
07:12.6,110839.8,0.0155,CRACKED
07:15.1,110351.6,0.029,CRACKED
07:17.7,110351.6,0.0155,CRACKED
07:22.7,110351.6,0.0283,CRACKED
07:25.3,110351.6,0.0358,CRACKED
07:27.8,110351.6,0.0496,CRACKED
07:30.3,110351.6,0.0439,CRACKED
07:32.9,110351.6,0.0439,CRACKED
07:35.4,110351.6,0.0439,CRACKED
07:37.9,110351.6,0.0439,CRACKED
07:40.5,110351.6,0.018,CRACKED
07:43.0,110351.6,0.1334,CRACKED
07:45.5,110351.6,0.0206,CRACKED
07:48.1,110351.6,0.0156,CRACKED
07:50.6,110351.6,0.0264,CRACKED
07:53.1,166992.2,0.0135,CRACKED
07:55.7,110351.6,0.0151,CRACKED
07:58.2,143066.4,0.0154,CRACKED
08:00.7,110351.6,0.0273,CRACKED
08:03.3,110351.6,0.0141,CRACKED
08:05.8,105468.8,0.0146,CRACKED
08:08.3,110351.6,0.0171,CRACKED
08:10.8,143066.4,0.0189,CRACKED
08:13.4,143066.4,0.0158,CRACKED
08:15.9,166503.9,0.0124,CRACKED
08:18.4,110351.6,0.0295,CRACKED
08:21.0,38085.9,0.014,CRACKED
08:23.5,110351.6,0.0195,CRACKED
08:26.0,110351.6,0.0235,CRACKED
08:28.6,110351.6,0.0234,CRACKED
08:31.1,110839.8,0.018,CRACKED
08:33.6,110351.6,0.0251,CRACKED
08:36.2,110351.6,0.019,CRACKED
08:38.7,80566.4,0.0159,CRACKED
08:41.2,110351.6,0.0209,CRACKED
08:43.8,110839.8,0.0159,CRACKED
08:46.3,110351.6,0.0228,CRACKED
08:48.8,110351.6,0.0227,CRACKED
08:51.4,110351.6,0.0286,CRACKED
08:53.9,214355.5,0.0159,CRACKED
08:56.4,214355.5,0.0159,CRACKED
08:59.0,214355.5,0.0159,CRACKED
09:01.5,214355.5,0.0159,CRACKED
09:04.0,110351.6,0.0372,CRACKED
09:06.6,110839.8,0.018,CRACKED
09:09.1,110351.6,0.0333,CRACKED
09:11.6,110351.6,0.0174,CRACKED
09:14.1,110351.6,0.022,CRACKED
09:16.7,110351.6,0.0154,CRACKED
09:19.2,110351.6,0.0382,CRACKED
09:21.7,110351.6,0.0317,CRACKED
09:24.3,143066.4,0.0173,CRACKED
09:26.8,143066.4,0.0228,CRACKED
09:29.3,110351.6,0.0192,CRACKED
09:31.9,110351.6,0.0284,CRACKED
09:34.4,110351.6,0.0245,CRACKED
09:36.9,110351.6,0.0268,CRACKED
09:39.5,110351.6,0.035,CRACKED
09:42.0,143066.4,0.0179,CRACKED
09:44.5,134277.3,0.0177,CRACKED
09:47.1,110351.6,0.0216,CRACKED
09:49.6,110351.6,0.0298,CRACKED
09:52.1,143066.4,0.0179,CRACKED
09:54.7,143066.4,0.0223,CRACKED
09:57.2,110839.8,0.0161,CRACKED
09:59.7,143066.4,0.0163,CRACKED
10:02.3,110351.6,0.02,CRACKED
10:04.8,110351.6,0.0182,CRACKED
10:07.3,143066.4,0.0161,CRACKED
10:09.9,110351.6,0.035,CRACKED
10:12.4,110351.6,0.0347,CRACKED
10:14.9,110351.6,0.019,CRACKED
10:17.5,143066.4,0.015,CRACKED
10:20.0,24414.1,0.0202,CRACKED
10:22.5,110351.6,0.0343,CRACKED
10:25.0,110351.6,0.0196,CRACKED
10:27.6,143066.4,0.0169,CRACKED
10:30.1,203613.3,0.0167,CRACKED
10:32.6,110839.8,0.0236,CRACKED
10:35.2,110351.6,0.0193,CRACKED
10:37.7,143066.4,0.0167,CRACKED
10:40.2,110351.6,0.0161,CRACKED
10:42.8,47851.6,0.0178,CRACKED
10:45.3,232421.9,0.0132,CRACKED
10:47.8,110351.6,0.1085,CRACKED
10:50.4,96191.4,0.0136,CRACKED
10:52.9,225585.9,0.0155,CRACKED
10:55.4,110351.6,0.034,CRACKED
10:58.0,110351.6,0.0513,CRACKED
11:00.5,110351.6,0.0521,CRACKED
