timestamp,frequency,amplitude,label
51:03.0,41992.2,0.4681,CRACKED
51:05.2,59570.3,0.8041,CRACKED
51:07.3,59570.3,0.5828,CRACKED
51:09.4,50781.2,0.8699,CRACKED
51:11.5,169433.6,0.8663,CRACKED
51:13.7,59570.3,0.5674,CRACKED
51:15.8,169433.6,0.7165,CRACKED
51:17.9,59570.3,1.0792,CRACKED
49:10.4,220214.8,0.8029,CRACKED
49:12.5,169433.6,0.8584,CRACKED
49:14.6,169433.6,0.8584,CRACKED
49:16.7,169433.6,0.8584,CRACKED
49:18.9,169433.6,0.8584,CRACKED
49:21.0,169433.6,0.8584,CRACKED
49:23.1,169433.6,0.8584,CRACKED
49:25.3,169433.6,0.8584,CRACKED
49:27.4,169433.6,0.8584,CRACKED
49:29.5,59570.3,1.1635,CRACKED
49:31.6,229003.9,0.807,CRACKED
49:33.8,169433.6,1.1105,CRACKED
49:35.9,169433.6,1.1105,CRACKED
49:38.0,169433.6,1.1105,CRACKED
49:40.1,169433.6,1.1105,CRACKED
49:42.3,169921.9,0.8937,CRACKED
49:44.4,169433.6,0.9514,CRACKED
49:46.5,229492.2,1.0204,CRACKED
49:48.6,169433.6,1.0395,CRACKED
49:50.8,59570.3,0.9382,CRACKED
49:52.9,169433.6,1.2799,CRACKED
49:55.0,169433.6,1.2799,CRACKED
49:57.1,169433.6,1.2799,CRACKED
49:59.3,169433.6,1.2799,CRACKED
50:01.4,169433.6,1.2799,CRACKED
50:03.5,169433.6,1.2799,CRACKED
50:05.6,169433.6,1.2799,CRACKED
50:07.8,59570.3,0.5475,CRACKED
50:09.9,169433.6,0.9164,CRACKED
50:12.0,220214.8,0.8924,CRACKED
50:14.1,220214.8,0.8924,CRACKED
50:16.3,220214.8,0.8924,CRACKED
50:18.4,220214.8,0.8924,CRACKED
50:20.5,220214.8,0.8924,CRACKED
50:22.6,169921.9,0.9733,CRACKED
50:24.8,229003.9,0.8356,CRACKED
50:26.9,229003.9,0.8356,CRACKED
50:29.0,229003.9,0.8356,CRACKED
50:31.1,229003.9,0.8356,CRACKED
50:33.3,59570.3,1.0446,CRACKED
50:35.4,169433.6,1.0982,CRACKED
50:37.5,169433.6,0.9531,CRACKED
50:39.6,59570.3,0.6762,CRACKED
50:41.8,169921.9,0.7809,CRACKED
50:43.9,169921.9,0.7809,CRACKED
50:46.0,169921.9,0.7809,CRACKED
51:39.2,169433.6,0.9558,CRACKED
51:41.3,169433.6,0.9558,CRACKED
51:43.4,169433.6,0.9558,CRACKED
51:45.5,169433.6,0.9558,CRACKED
51:47.7,169433.6,0.9558,CRACKED
51:49.8,169433.6,0.9558,CRACKED
51:51.9,169433.6,0.9558,CRACKED
51:54.0,59570.3,0.9164,CRACKED
51:56.2,101562.5,0.715,CRACKED
51:58.3,59570.3,0.7352,CRACKED
52:00.4,220214.8,0.9112,CRACKED
52:02.5,220214.8,0.9112,CRACKED
52:04.7,220214.8,0.9112,CRACKED
51:20.0,59570.3,1.0792,CRACKED
51:22.2,59570.3,1.0792,CRACKED
09:47.6,220214.8,4.2914,CRACKED
09:49.7,220214.8,4.2914,CRACKED
09:51.8,220214.8,4.2914,CRACKED
09:54.0,220214.8,4.2914,CRACKED
09:56.1,220214.8,4.2914,CRACKED
09:58.2,220214.8,4.2914,CRACKED
10:00.4,220214.8,4.2914,CRACKED
10:02.5,59570.3,1.2105,CRACKED
10:04.6,59570.3,1.2105,CRACKED
10:06.7,59570.3,1.2105,CRACKED
10:08.9,59570.3,1.2105,CRACKED
10:11.0,229003.9,0.9089,CRACKED
10:13.1,169433.6,1.6211,CRACKED
10:15.2,169433.6,1.2603,CRACKED
10:17.4,169433.6,2.4051,CRACKED
10:19.5,220214.8,1.4782,CRACKED
10:21.6,169921.9,1.2263,CRACKED
10:23.7,169921.9,1.2263,CRACKED
10:25.9,169921.9,1.2263,CRACKED
10:28.0,169921.9,1.2263,CRACKED
10:30.1,169921.9,1.2263,CRACKED
10:32.2,169921.9,1.2263,CRACKED
10:34.4,169921.9,1.2263,CRACKED
10:36.5,220214.8,1.4814,CRACKED
10:38.6,220214.8,1.4814,CRACKED
10:40.8,220214.8,1.4814,CRACKED
10:42.9,220214.8,1.4814,CRACKED
10:45.0,220214.8,1.4814,CRACKED
10:47.1,220214.8,1.4814,CRACKED
10:49.3,169433.6,1.3214,CRACKED
10:51.4,59570.3,1.526,CRACKED
06:57.4,169433.6,1.187,CRACKED
06:59.6,169433.6,1.1606,CRACKED
07:01.7,169433.6,1.1606,CRACKED
07:03.8,169433.6,1.1606,CRACKED
07:05.9,169433.6,1.1606,CRACKED
07:08.1,59570.3,1.0566,CRACKED
07:10.2,220214.8,0.8893,CRACKED
07:12.3,220214.8,1.1921,CRACKED
07:14.4,169433.6,1.1053,CRACKED
07:16.6,169433.6,1.1053,CRACKED
07:18.7,169433.6,1.1053,CRACKED
07:20.8,169433.6,1.1053,CRACKED
07:22.9,169433.6,1.1053,CRACKED
07:25.1,169433.6,1.1053,CRACKED
07:27.2,169433.6,1.1053,CRACKED
07:29.3,169433.6,1.1053,CRACKED
07:31.5,169433.6,1.1053,CRACKED
07:33.6,169433.6,1.1053,CRACKED
07:35.7,169433.6,1.1053,CRACKED
07:37.8,169433.6,1.1053,CRACKED
07:40.0,169433.6,1.1053,CRACKED
07:42.1,169433.6,1.1053,CRACKED
05:29.4,109863.3,1.138,CRACKED
05:31.5,59570.3,1.0718,CRACKED
05:33.6,59570.3,1.1571,CRACKED
05:35.8,109863.3,1.6914,CRACKED
05:37.9,109863.3,1.3241,CRACKED
05:40.0,109863.3,1.3241,CRACKED
05:42.1,109863.3,1.3241,CRACKED
05:44.3,109863.3,1.3241,CRACKED
05:46.4,109863.3,1.3241,CRACKED
05:48.5,109863.3,1.5905,CRACKED
05:50.6,109863.3,0.9312,CRACKED
05:52.8,109863.3,1.0659,CRACKED
05:54.9,110351.6,1.1702,CRACKED
05:57.0,220214.8,1.3509,CRACKED
05:59.1,109863.3,1.6134,CRACKED
06:01.3,110351.6,1.1192,CRACKED
06:03.4,59570.3,1.5315,CRACKED
06:05.5,59570.3,1.4467,CRACKED
06:07.6,59570.3,1.4467,CRACKED
06:09.8,59570.3,1.4467,CRACKED
06:11.9,59570.3,1.4467,CRACKED
