timestamp,frequency,amplitude,label
08:18.2,110351.6,1.3832,NORMAL
08:20.3,110351.6,1.1847,NORMAL
08:22.4,110351.6,1.2167,NORMAL
08:24.6,110351.6,0.9522,NORMAL
08:26.7,110351.6,1.4918,NORMAL
08:28.8,110351.6,1.4088,NORMAL
08:30.9,110351.6,1.2358,NORMAL
08:33.1,110351.6,1.203,NORMAL
08:35.2,110351.6,1.5171,NORMAL
08:37.3,110351.6,1.4003,NORMAL
08:39.5,110351.6,1.2257,NORMAL
08:41.6,110351.6,1.0419,NORMAL
08:43.7,110351.6,1.1391,NORMAL
08:45.8,110351.6,1.1277,NORMAL
08:48.0,110351.6,0.9563,NORMAL
08:50.1,110351.6,0.9735,NORMAL
08:52.2,110351.6,1.1109,NORMAL
08:54.3,110351.6,0.9295,NORMAL
08:56.5,110351.6,1.2965,NORMAL
08:58.6,110351.6,0.932,NORMAL
09:00.7,110351.6,1.2735,NORMAL
09:02.9,110351.6,1.3542,NORMAL
09:05.0,110351.6,1.1087,NORMAL
09:07.1,110351.6,1.0914,NORMAL
09:09.2,110351.6,1.1627,NORMAL
09:11.4,110351.6,0.4858,NORMAL
09:13.5,110351.6,0.4568,NORMAL
09:15.6,110351.6,0.5765,NORMAL
09:17.8,110351.6,0.5283,NORMAL
09:19.9,110351.6,0.5104,NORMAL
09:22.0,110351.6,0.6071,NORMAL
09:24.1,110351.6,0.4152,NORMAL
09:26.3,110351.6,0.5316,NORMAL
09:28.4,110351.6,0.6464,NORMAL
09:30.5,110351.6,0.4538,NORMAL
09:32.7,109863.3,0.4487,NORMAL
09:34.8,110351.6,0.4559,NORMAL
09:36.9,110351.6,0.497,NORMAL
09:39.0,110351.6,0.6006,NORMAL
09:41.2,110351.6,0.5357,NORMAL
09:43.3,110351.6,0.5374,NORMAL
09:45.4,110351.6,0.4557,NORMAL
09:47.6,109863.3,0.5809,NORMAL
09:49.7,110351.6,0.689,NORMAL
09:51.8,110351.6,0.6974,NORMAL
09:53.9,110351.6,0.6482,NORMAL
09:56.1,110351.6,129.3134,NORMAL
09:58.2,110351.6,1.1386,NORMAL
10:00.3,110351.6,1.0201,NORMAL
10:02.4,110351.6,1.0706,NORMAL
10:04.6,109863.3,0.6255,NORMAL
10:06.7,110351.6,1.1778,NORMAL
10:08.8,110351.6,1.0055,NORMAL
10:11.0,110351.6,0.7968,NORMAL
10:13.1,110351.6,0.9421,NORMAL
10:15.2,110351.6,1.0703,NORMAL
10:17.3,110351.6,1.4149,NORMAL
10:19.5,110351.6,1.2142,NORMAL
10:21.6,110351.6,1.4583,NORMAL
10:23.7,110351.6,1.8101,NORMAL
10:25.9,110351.6,2.2411,NORMAL
10:28.0,110351.6,2.2411,NORMAL
10:30.1,110351.6,2.2411,NORMAL
10:32.2,110351.6,2.2411,NORMAL
10:34.4,110351.6,1.6162,NORMAL
10:36.5,110351.6,1.4982,NORMAL
10:38.6,110351.6,1.4779,NORMAL
10:40.8,110351.6,1.9017,NORMAL
10:42.9,110351.6,1.9606,NORMAL
10:45.0,110351.6,1.662,NORMAL
10:47.1,110351.6,1.7902,NORMAL
10:49.3,110351.6,1.6195,NORMAL
10:51.4,110351.6,1.7716,NORMAL
10:53.5,110351.6,1.6152,NORMAL
10:55.7,110351.6,1.7431,NORMAL
10:57.8,110351.6,1.7893,NORMAL
10:59.9,110351.6,1.6424,NORMAL
11:02.0,110351.6,1.7554,NORMAL
11:04.2,110351.6,1.9083,NORMAL
11:06.3,110351.6,1.9762,NORMAL
11:08.4,110351.6,2.4537,NORMAL
11:10.6,110351.6,2.3655,NORMAL
11:12.7,110351.6,0.814,NORMAL
11:14.8,110351.6,2.2456,NORMAL
11:16.9,110351.6,2.2456,NORMAL
11:19.1,110351.6,2.2456,NORMAL
11:21.2,110351.6,2.2456,NORMAL
11:23.3,110351.6,1.3,NORMAL
11:25.5,110351.6,2.5812,NORMAL
11:27.6,110351.6,2.5812,NORMAL
11:29.7,110351.6,2.5812,NORMAL
11:31.9,110351.6,2.5812,NORMAL
11:34.0,110351.6,2.2912,NORMAL
11:36.1,110351.6,2.8933,NORMAL
11:38.2,110351.6,2.4944,NORMAL
11:40.4,110351.6,2.7985,NORMAL
11:42.5,110351.6,2.8494,NORMAL
11:44.6,110351.6,2.8494,NORMAL
11:46.7,110351.6,2.8494,NORMAL
11:48.9,110351.6,2.8494,NORMAL
11:51.0,110351.6,2.898,NORMAL
11:53.1,110351.6,2.8298,NORMAL
11:55.3,110351.6,2.1933,NORMAL
11:57.4,110351.6,2.3229,NORMAL
11:59.5,110351.6,2.5395,NORMAL
12:01.6,110351.6,2.3236,NORMAL
12:03.8,110351.6,2.6139,NORMAL
12:05.9,109863.3,2.3757,NORMAL
12:08.0,110351.6,2.9166,NORMAL
12:10.2,110351.6,2.7195,NORMAL
12:12.3,110351.6,2.266,NORMAL
12:14.4,110351.6,2.3922,NORMAL
12:16.5,110351.6,2.4746,NORMAL
12:18.7,110351.6,2.5389,NORMAL
12:20.8,110351.6,1.5223,NORMAL
12:22.9,110351.6,1.4463,NORMAL
12:25.0,110351.6,2.4805,NORMAL
12:27.2,110351.6,2.5981,NORMAL
12:29.3,110351.6,2.3834,NORMAL
12:31.4,110351.6,2.7972,NORMAL
12:33.6,110351.6,2.7428,NORMAL
12:35.7,110351.6,3.3158,NORMAL
12:37.8,110351.6,3.3158,NORMAL
12:39.9,110351.6,3.3158,NORMAL
12:42.1,110351.6,3.3158,NORMAL
12:44.2,110351.6,3.3158,NORMAL
12:46.3,110351.6,3.3158,NORMAL
12:48.4,110351.6,3.3158,NORMAL
12:50.6,110351.6,2.6979,NORMAL
12:52.7,110351.6,2.9537,NORMAL
12:54.8,110351.6,2.7301,NORMAL
12:57.0,110351.6,2.8111,NORMAL
12:59.1,110351.6,2.7887,NORMAL
13:01.2,110351.6,3.1101,NORMAL
13:03.3,110351.6,3.2835,NORMAL
13:05.5,110351.6,3.4233,NORMAL
13:07.6,110351.6,3.3635,NORMAL
13:09.7,110351.6,3.0472,NORMAL
13:11.8,110351.6,3.3876,NORMAL
13:14.0,110351.6,3.2555,NORMAL
13:16.1,110351.6,3.2315,NORMAL
13:18.2,110351.6,3.4324,NORMAL
13:20.4,110351.6,3.1755,NORMAL
13:22.5,110351.6,2.9456,NORMAL
13:24.6,110351.6,2.9456,NORMAL
13:26.7,110351.6,2.9456,NORMAL
13:28.9,110351.6,2.9456,NORMAL
13:31.0,110351.6,2.9456,NORMAL
13:33.1,110351.6,2.7533,NORMAL
13:35.3,110351.6,3.7558,NORMAL
13:37.4,110351.6,2.978,NORMAL
13:39.5,109863.3,2.5761,NORMAL
13:41.6,110351.6,3.3258,NORMAL
13:43.8,110351.6,3.0236,NORMAL
13:45.9,110351.6,2.489,NORMAL
13:48.0,110351.6,3.1456,NORMAL
13:50.1,110351.6,3.079,NORMAL
13:52.3,110351.6,3.079,NORMAL
13:54.4,110351.6,3.079,NORMAL
13:56.5,110351.6,3.079,NORMAL
13:58.7,110351.6,2.3504,NORMAL
14:00.8,109863.3,2.3836,NORMAL
14:02.9,110351.6,2.5277,NORMAL
14:05.0,110351.6,2.8916,NORMAL
14:07.2,110351.6,2.4412,NORMAL
14:09.3,109863.3,2.1104,NORMAL
14:11.4,110351.6,3.3439,NORMAL
14:13.5,110351.6,3.2553,NORMAL
14:15.7,110351.6,3.1802,NORMAL
14:17.8,110351.6,111.1607,NORMAL
14:19.9,110351.6,3.1853,NORMAL
14:22.1,110351.6,2.6026,NORMAL
14:24.2,110351.6,3.2865,NORMAL
14:26.3,110351.6,3.2865,NORMAL
14:28.4,110351.6,3.2865,NORMAL
14:30.6,110351.6,3.2865,NORMAL
14:32.7,110351.6,3.5803,NORMAL
14:34.8,110351.6,3.5803,NORMAL
06:29.7,109863.3,0.8041,NORMAL
06:32.2,110351.6,0.5894,NORMAL
06:34.7,110351.6,0.5266,NORMAL
06:37.2,110351.6,0.7639,NORMAL
06:39.8,110351.6,0.6416,NORMAL
06:42.3,110351.6,0.6416,NORMAL
06:44.8,110351.6,0.6416,NORMAL
06:47.3,110351.6,0.6416,NORMAL
06:49.9,109863.3,0.5611,NORMAL
06:52.4,110351.6,0.734,NORMAL
06:54.9,110351.6,0.734,NORMAL
06:57.5,110351.6,0.734,NORMAL
07:00.0,110351.6,0.734,NORMAL
07:02.5,110351.6,0.734,NORMAL
07:05.0,110351.6,0.734,NORMAL
07:07.6,110351.6,0.734,NORMAL
07:10.1,110351.6,0.734,NORMAL
07:12.6,109863.3,0.7901,NORMAL
07:15.1,109863.3,0.6441,NORMAL
07:17.7,109863.3,0.7583,NORMAL
07:20.2,109863.3,0.7583,NORMAL
07:22.7,109863.3,0.7583,NORMAL
07:25.3,109863.3,0.7583,NORMAL
07:27.8,109863.3,0.7583,NORMAL
07:37.9,109863.3,0.7075,NORMAL
07:40.4,109863.3,0.6491,NORMAL
