timestamp,frequency,amplitude,label
25:58.9,110351.6,0.2418,NORMAL
26:01.5,110351.6,0.2005,NORMAL
26:04.0,110351.6,0.236,NORMAL
26:06.5,110351.6,0.2306,NORMAL
26:09.1,110351.6,0.2502,NORMAL
26:11.6,110351.6,0.2377,NORMAL
26:14.1,110351.6,0.2412,NORMAL
26:16.6,110351.6,0.2316,NORMAL
26:19.2,110351.6,0.2298,NORMAL
26:21.7,110351.6,0.2337,NORMAL
26:24.2,110351.6,0.2231,NORMAL
26:26.8,110351.6,0.2493,NORMAL
26:29.3,110351.6,0.2417,NORMAL
26:31.8,110351.6,0.2067,NORMAL
59:34.0,110351.6,0.2863,NORMAL
59:36.1,110351.6,0.2416,NORMAL
59:38.2,110351.6,0.1966,NORMAL
59:40.4,109863.3,0.2582,NORMAL
59:42.5,109863.3,0.2582,NORMAL
59:44.6,109863.3,0.2582,NORMAL
59:46.7,109863.3,0.2582,NORMAL
59:48.9,109863.3,0.2582,NORMAL
59:51.0,109863.3,0.2582,NORMAL
59:53.1,109863.3,0.2582,NORMAL
59:55.2,110351.6,0.3021,NORMAL
59:57.4,110351.6,0.3089,NORMAL
59:59.5,110351.6,0.3089,NORMAL
00:01.6,110351.6,0.3089,NORMAL
00:03.7,110351.6,0.3089,NORMAL
00:05.9,110351.6,0.2777,NORMAL
00:08.0,110351.6,0.3046,NORMAL
00:10.1,110351.6,0.2764,NORMAL
00:12.2,110351.6,0.305,NORMAL
00:14.4,109863.3,0.2762,NORMAL
00:16.5,110351.6,0.3344,NORMAL
00:18.6,110351.6,0.3344,NORMAL
00:20.8,110351.6,0.3344,NORMAL
00:22.9,110351.6,0.3344,NORMAL
00:25.0,110351.6,0.2751,NORMAL
00:27.1,110351.6,0.4288,NORMAL
00:29.3,110351.6,0.4288,NORMAL
00:31.4,110351.6,0.4288,NORMAL
00:33.5,110351.6,0.4288,NORMAL
00:35.6,110351.6,0.3476,NORMAL
00:37.8,110351.6,0.3476,NORMAL
00:39.9,110351.6,0.3476,NORMAL
00:42.0,110351.6,0.3476,NORMAL
00:44.1,110351.6,0.3476,NORMAL
00:46.3,110351.6,0.3476,NORMAL
00:48.4,110351.6,0.4738,NORMAL
00:50.5,109863.3,0.4272,NORMAL
00:52.7,110351.6,0.4854,NORMAL
00:54.8,110351.6,0.4854,NORMAL
00:56.9,110351.6,0.4854,NORMAL
00:59.0,110351.6,0.4854,NORMAL
01:01.2,110351.6,0.4854,NORMAL
01:03.3,110351.6,0.4854,NORMAL
01:05.4,110351.6,0.4854,NORMAL
01:07.5,110351.6,0.4854,NORMAL
01:09.7,110351.6,0.4854,NORMAL
01:11.8,110351.6,0.4854,NORMAL
01:13.9,110351.6,0.3564,NORMAL
01:16.0,110351.6,0.4462,NORMAL
01:18.2,110351.6,0.294,NORMAL
01:20.3,109863.3,0.3271,NORMAL
01:22.4,110351.6,0.2942,NORMAL
01:24.5,110351.6,0.2969,NORMAL
01:26.7,110351.6,0.2734,NORMAL
01:28.8,110351.6,0.3797,NORMAL
01:30.9,109863.3,0.379,NORMAL
01:33.1,110351.6,0.2841,NORMAL
01:35.2,110351.6,0.3263,NORMAL
01:37.3,109863.3,0.2659,NORMAL
01:39.4,110351.6,0.2472,NORMAL
01:41.6,109863.3,0.2887,NORMAL
01:43.7,109863.3,0.2348,NORMAL
01:45.8,109863.3,0.2348,NORMAL
01:47.9,109863.3,0.2348,NORMAL
01:50.1,109863.3,0.2348,NORMAL
01:52.2,109863.3,0.2348,NORMAL
01:54.3,109863.3,0.2348,NORMAL
01:56.4,109863.3,0.2348,NORMAL
01:58.6,110351.6,0.3101,NORMAL
02:00.7,110351.6,0.2658,NORMAL
02:02.8,109863.3,0.2718,NORMAL
02:04.9,110351.6,0.2197,NORMAL
02:07.1,110351.6,0.2197,NORMAL
02:09.2,110351.6,0.2197,NORMAL
02:11.3,110351.6,0.2197,NORMAL
02:13.4,110351.6,0.2197,NORMAL
02:15.6,110351.6,0.2197,NORMAL
02:17.7,110351.6,0.2197,NORMAL
02:19.8,110351.6,0.2197,NORMAL
02:21.9,110351.6,0.2197,NORMAL
02:24.1,110351.6,0.2197,NORMAL
02:26.2,110351.6,0.2197,NORMAL
02:28.3,110351.6,0.2197,NORMAL
02:30.4,110351.6,0.2197,NORMAL
02:32.6,110351.6,0.2197,NORMAL
02:34.7,110351.6,0.2197,NORMAL
02:36.8,110351.6,0.23,NORMAL
02:39.0,110351.6,4.3074,NORMAL
02:41.1,110351.6,4.3074,NORMAL
02:43.2,110351.6,4.3074,NORMAL
02:45.3,110351.6,4.3074,NORMAL
02:47.5,110351.6,4.3074,NORMAL
02:49.6,110351.6,4.3074,NORMAL
02:51.7,110351.6,4.3074,NORMAL
02:53.8,109863.3,0.3031,NORMAL
02:56.0,109863.3,0.3116,NORMAL
02:58.1,109863.3,0.3116,NORMAL
03:00.2,109863.3,0.3116,NORMAL
03:02.3,109863.3,0.3116,NORMAL
03:04.5,109863.3,0.3116,NORMAL
03:06.6,109863.3,0.2754,NORMAL
03:08.7,110351.6,0.2525,NORMAL
03:10.8,110351.6,0.2525,NORMAL
03:12.9,110351.6,0.2525,NORMAL
03:15.1,110351.6,0.2525,NORMAL
03:17.2,110351.6,0.2525,NORMAL
03:19.3,110351.6,0.2525,NORMAL
03:21.4,110351.6,0.2525,NORMAL
03:23.6,110351.6,0.2525,NORMAL
03:25.7,109863.3,0.2466,NORMAL
03:27.8,109863.3,0.2673,NORMAL
03:29.9,109863.3,0.2673,NORMAL
03:32.1,109863.3,0.2673,NORMAL
03:34.2,109863.3,0.2673,NORMAL
03:36.3,109863.3,0.2673,NORMAL
03:38.4,109863.3,0.2673,NORMAL
03:40.6,109863.3,0.2673,NORMAL
03:42.7,109863.3,0.2673,NORMAL
03:44.8,109863.3,0.2673,NORMAL
03:46.9,109863.3,0.2673,NORMAL
03:49.1,109863.3,0.2673,NORMAL
03:51.2,109863.3,0.2673,NORMAL
03:53.3,109863.3,0.2673,NORMAL
03:55.4,109863.3,0.2673,NORMAL
03:57.6,109863.3,0.2673,NORMAL
03:59.7,109863.3,0.2673,NORMAL
04:01.8,109863.3,0.2673,NORMAL
04:03.9,109863.3,0.2673,NORMAL
04:06.1,109863.3,0.3649,NORMAL
04:08.2,109863.3,0.2365,NORMAL
04:10.3,109863.3,0.2631,NORMAL
04:12.4,109863.3,0.2631,NORMAL
04:14.6,109863.3,0.2631,NORMAL
04:16.7,109863.3,0.2631,NORMAL
04:18.8,109863.3,0.2631,NORMAL
04:20.9,109863.3,0.2631,NORMAL
04:23.1,109863.3,0.2631,NORMAL
04:25.2,109863.3,0.3222,NORMAL
04:27.3,109863.3,0.3222,NORMAL
04:29.4,109863.3,0.3222,NORMAL
04:31.5,109863.3,0.3222,NORMAL
04:33.7,109863.3,0.2923,NORMAL
04:35.8,109863.3,0.3352,NORMAL
04:37.9,109863.3,0.3515,NORMAL
04:40.0,109863.3,0.3682,NORMAL
04:42.2,109863.3,0.4339,NORMAL
04:44.3,109863.3,0.3222,NORMAL
04:46.4,109863.3,0.3809,NORMAL
04:48.5,109863.3,0.4296,NORMAL
04:50.7,109863.3,0.3613,NORMAL
25:58.9,110351.6,0.2418,NORMAL
26:01.5,110351.6,0.2005,NORMAL
26:04.0,110351.6,0.236,NORMAL
26:06.5,110351.6,0.2306,NORMAL
26:09.1,110351.6,0.2502,NORMAL
26:11.6,110351.6,0.2377,NORMAL
26:14.1,110351.6,0.2412,NORMAL
26:16.6,110351.6,0.2316,NORMAL
26:19.2,110351.6,0.2298,NORMAL
26:21.7,110351.6,0.2337,NORMAL
26:24.2,110351.6,0.2231,NORMAL
26:26.8,110351.6,0.2493,NORMAL
26:29.3,110351.6,0.2417,NORMAL
26:31.8,110351.6,0.2067,NORMAL
26:34.3,110351.6,0.252,NORMAL
26:36.9,110351.6,0.2301,NORMAL
26:39.4,110351.6,0.2821,NORMAL
26:41.9,110351.6,0.2484,NORMAL
26:44.5,110351.6,0.2665,NORMAL
26:47.0,110351.6,0.2735,NORMAL
26:49.5,110351.6,0.2828,NORMAL
26:52.1,110351.6,0.3018,NORMAL
26:54.6,110351.6,0.2879,NORMAL
26:57.1,110351.6,0.2907,NORMAL
26:59.6,110351.6,0.3029,NORMAL
27:02.2,110351.6,0.3381,NORMAL
27:04.7,110351.6,0.3142,NORMAL
27:07.2,110351.6,0.3264,NORMAL
27:09.8,110351.6,0.3111,NORMAL
27:12.3,110351.6,0.2648,NORMAL
27:14.8,110351.6,0.3588,NORMAL
27:17.3,110351.6,0.2633,NORMAL
27:19.9,110351.6,0.3454,NORMAL
27:22.4,110351.6,0.3463,NORMAL
27:24.9,110351.6,0.3237,NORMAL
27:27.5,110351.6,0.3235,NORMAL
27:30.0,110351.6,0.3052,NORMAL
27:32.5,110351.6,0.3351,NORMAL
27:35.1,110351.6,0.3368,NORMAL
27:37.6,110351.6,0.3527,NORMAL
27:40.1,110351.6,0.3098,NORMAL
27:42.6,110351.6,0.3117,NORMAL
27:45.2,110351.6,0.3277,NORMAL
27:47.7,110351.6,0.3075,NORMAL
27:50.2,110351.6,0.3373,NORMAL
27:52.8,110351.6,0.2548,NORMAL
27:55.3,110351.6,0.3471,NORMAL
27:57.8,110351.6,0.3301,NORMAL
28:00.3,110351.6,0.2881,NORMAL
28:02.9,110351.6,0.3347,NORMAL
28:05.4,110351.6,0.3314,NORMAL
28:07.9,110351.6,0.3128,NORMAL
28:10.5,110351.6,0.2842,NORMAL
28:13.0,110351.6,0.2961,NORMAL
28:15.5,110351.6,0.3077,NORMAL
28:18.0,110351.6,0.2797,NORMAL
28:20.6,110351.6,0.3346,NORMAL
28:23.1,110351.6,0.277,NORMAL
28:25.6,110351.6,0.2835,NORMAL
28:28.2,110351.6,0.2672,NORMAL
28:30.7,110351.6,0.2485,NORMAL
28:33.2,110351.6,0.2566,NORMAL
28:35.8,110351.6,0.2995,NORMAL
28:38.3,110351.6,0.2779,NORMAL
28:40.8,110351.6,0.2721,NORMAL
28:43.3,110351.6,0.3007,NORMAL
28:45.9,110351.6,0.2993,NORMAL
28:48.4,110351.6,0.2617,NORMAL
28:50.9,110351.6,0.259,NORMAL
28:53.5,110351.6,0.2692,NORMAL
28:56.0,110351.6,0.2201,NORMAL
28:58.5,110351.6,0.3107,NORMAL
29:01.0,110351.6,0.2711,NORMAL
29:03.6,110351.6,0.2365,NORMAL
29:06.1,110351.6,0.2509,NORMAL
29:08.6,110351.6,0.2618,NORMAL
29:11.2,110351.6,0.2798,NORMAL
29:13.7,110351.6,0.2674,NORMAL
29:16.2,110351.6,0.2761,NORMAL
29:18.7,110351.6,0.2368,NORMAL
29:21.3,110351.6,0.2845,NORMAL
29:23.8,110351.6,0.2249,NORMAL
29:26.3,110351.6,0.2462,NORMAL
29:28.8,110351.6,0.2988,NORMAL
29:31.4,110351.6,0.3114,NORMAL
29:33.9,110351.6,0.3258,NORMAL
29:36.4,110351.6,0.2401,NORMAL
29:39.0,110351.6,0.2494,NORMAL
29:41.5,110351.6,0.2379,NORMAL
29:44.0,110351.6,0.2478,NORMAL
29:46.5,110351.6,0.3119,NORMAL
29:49.1,110351.6,0.2223,NORMAL
29:51.6,110351.6,0.2213,NORMAL
29:54.1,110351.6,0.2213,NORMAL
29:56.7,110351.6,0.2213,NORMAL
29:59.2,110351.6,0.2213,NORMAL
30:01.7,110351.6,0.2606,NORMAL
30:04.2,110351.6,0.2699,NORMAL
30:06.8,110351.6,0.2218,NORMAL
30:09.3,110351.6,0.2319,NORMAL
30:11.8,110351.6,0.2518,NORMAL
30:14.4,110351.6,0.2894,NORMAL
30:16.9,110351.6,0.2842,NORMAL
30:19.4,110351.6,0.2842,NORMAL
30:21.9,110351.6,0.2842,NORMAL
